AFKay,A. F. Kay
Akazamzarak,Akazamzarak
AlAkir,Al Akir
Alexstrasza,Alexstrasza
Aranna,Aranna 
Bazhial,Lich Bazhial
Bigglesworth,Bigglesworth
Blackthorn,Blackthorn
Brann,Brann
Brukan,Brukan
Cariel,Cariel
Chenvaala,Chenvaala
Cookie,Cookie
CThun,Cthun
Curator,Curator
Deathwing,Deathwing
Deryl,Deryl
Diablo,
DrekThar,Drek'Thar
Edwin,Edwin
Elise,Elise
Eudora,Eudora
Finley,Finley
Flurgl,Flurgl
Galakrond,Galakrond
Galewing,Galewing
Gallywix,Gallywix
George,George
Greybough,Greybough
Guff,Guff
Hooktusk,Hooktusk
Illidan,Illidan
Jandice,Jandice
Jaraxxus,Jaraxxus
Kaelthas,Kaelthas
Kragg,Kragg
Kurtrus,Kurtrus
LichKing,Lich King
LordBarov,Barov 
Maiev,Maiev
Malygos,Malygos
Millhouse,Millhouse
Millificent,Millificent
Mukla,Mukla
Mutanus,Mutanus
Nguyen,Nguyen
Nozdormu,Nozdormu
NZoth,Nzoth
Omu,Omu
Onyxia,Onyxia
Patches,Patches
Patchwerk,Patchwerk
Pyramad,Pyramad
Rafaam,Rafaam
Ragnaros,Ragnaros
Rakanishu,Rakanishu
RatKing,Rat King
Reno,Reno Jackson
Rokara,Rokara
Saurfang,Saurfang
Scabbs,Scabbs
Shudderwock,Shudderwock
Silas,Silas
Sindragosa,Sindragosa
Sneed,Sneed
Tamsin,Tamsin
Tavish,Tavish Stormpike
Tess,Tess
Tickatus,Tickatus
Toki,Toki
Vanndar,Vanndar 
Varden,Varden
Voljin,Voljin
Wagtoggle,Wagtoggle
Xyrella,Xyrella
Yogg,Yogg
Ysera,Ysera
YShaarj,Yshaarj
Zephrys,Zephrys
